currency,horizon_months,median_break_even_rate_pct,p25_break_even_rate_pct,p75_break_even_rate_pct
ARS,3,17.011549890259857,6.5122975545676365,30.36915568652663
ARS,6,21.199874544200938,11.238956153059654,34.67032810889379
ARS,12,23.84836236317751,18.72520795212198,33.99176843580489
ARS,24,41.4922267308,30.072599106521004,51.83960960828705
TRY,3,16.793756808608308,-11.011142380066708,43.982176786924775
TRY,6,22.20433615620403,1.9814866723756097,39.148227661097735
TRY,12,31.89627604849288,13.202518319834521,81.2826238908271
TRY,24,52.94874766805915,46.424711045401004,57.23159915339553
