currency,horizon_months,annual_borrow_rate_pct,events,mean_net_benefit_pct,median_net_benefit_pct,positive_positions_pct,total_net_benefit_usd,value_weighted_net_benefit_pct
ARS,3,5.0,130742,-16.66657835978351,2.1426709364588534,73.70317113092962,534428679.8152139,4.012800368611549
ARS,3,10.0,130742,-17.764922445769727,1.0468378758639687,59.973076746569575,386145450.03337204,2.899403910672154
ARS,3,20.0,130742,-19.85388047272624,-1.0414281323756427,44.10365452570712,104123224.87823763,0.7818175389031969
ARS,3,40.0,130742,-23.668132162421358,-4.931681344715908,8.857138486484832,-410824291.9930248,-3.084706963919301
ARS,3,80.0,130742,-30.210535088868134,-11.631625006230458,2.1286197243425984,-1294089061.9731987,-9.716770938823398
ARS,3,120.0,130742,-35.737857072816126,-17.129892719112355,0.26540820853283564,-2040311640.3813548,-15.319842687775715
ARS,6,5.0,130742,-11.227228496861418,6.254364169078036,82.28572302703033,1264196318.5926058,9.492318890894516
ARS,6,10.0,130742,-13.30951374919548,4.146394125903896,78.42391886310443,982967744.6185579,7.380691712320643
ARS,6,20.0,130742,-17.3366735141639,0.04830886240602957,50.15067843539184,439068969.65569615,3.296784378954869
ARS,6,40.0,130742,-24.915907998752267,-7.672026554195599,11.938780193051965,-584564705.6663992,-4.389250717582187
ARS,6,80.0,130742,-38.59629332742567,-21.68197518422808,2.940906518180845,-2432205538.2976637,-18.262409277875122
ARS,6,120.0,130742,-50.82371793607985,-34.19789741551275,0.7763381315874012,-4083612895.773066,-30.662133138309436
ARS,12,5.0,130742,-0.5881798155817785,14.603215699640131,87.57017637790457,3142466887.5100355,23.595463269130637
ARS,12,10.0,130742,-4.298016188501682,10.736581948032761,86.26225696409723,2662344110.2643657,19.99042310142035
ARS,12,20.0,130742,-11.71768893434147,2.775182375856766,62.05350996619296,1702098555.7730284,12.780342765999801
ARS,12,40.0,130742,-26.55703442602107,-13.018871819127492,15.11373544844044,-218392553.20964795,-1.6398179048413122
ARS,12,80.0,130742,-56.235725409380265,-44.92425771145063,4.045371800951492,-4059374771.175003,-30.48013924652356
ARS,12,120.0,130742,-85.91441639273948,-76.88557686403242,1.7530709335944072,-7900356989.140358,-59.3204605882058
ARS,24,5.0,130742,25.17027329450314,42.71507179622521,90.57227210842728,7898052787.99484,59.30315931012079
ARS,24,10.0,130742,20.072521965628397,37.330913264705124,89.58253659879763,7376332363.671667,55.38577989148615
ARS,24,20.0,130742,9.165705168966163,25.823564862322737,85.79645408514479,6260093316.282554,47.00440997254692
ARS,24,40.0,130742,-15.493184980009321,0.15174958718642984,50.065013538113234,3736422426.5332546,28.055225807988666
ARS,24,80.0,130742,-76.19199150056441,-62.50886918683513,12.59809395603555,-2475690532.849641,-18.588919827847064
ARS,24,120.0,130742,-152.06549965125828,-141.10762085475397,6.136513132734699,-10240831732.07826,-76.89410187264174
TRY,3,5.0,130742,-16.473394614863036,2.1641791553073615,54.480580073732995,1369645641.8397622,10.28409354517081
TRY,3,10.0,130742,-17.56948993192698,1.0384838638661356,52.362668461550236,1231084813.6416173,9.243698514984766
TRY,3,20.0,130742,-19.654170989625044,-1.0805192977276463,44.54268712425999,967553778.1680131,7.264954715803356
TRY,3,40.0,130742,-23.460613313593182,-4.971256594487286,29.11765155803032,486369530.1499831,3.651944410135524
TRY,3,80.0,130742,-29.98962120967951,-11.597858308984069,11.365896192501262,-338982724.6313182,-2.545278825275307
TRY,3,120.0,130742,-35.50562645777076,-17.263122142549527,6.707867402976856,-1036278154.711375,-7.780977178559574
TRY,6,5.0,130742,-10.693499560457115,6.845187968906364,68.39347722996436,2475958283.6072707,18.590930255766626
TRY,6,10.0,130742,-12.763285574059903,4.685641619598939,63.39814290740542,2223107601.58008,16.692380742306348
TRY,6,20.0,130742,-16.766271690746997,0.5190329376899696,54.026250172094656,1734091943.392359,13.020567668743368
TRY,6,40.0,130742,-24.300010650110387,-7.359640786061087,21.802481222560463,813749926.5990138,6.110106228848358
TRY,6,80.0,130742,-37.898277353601586,-21.32084573873431,10.58955806091386,-847451273.7996823,-6.363155482335856
TRY,6,120.0,130742,-50.05230495813212,-33.87038203687403,8.460938336571262,-2332220302.5716634,-17.511662160568967
TRY,12,5.0,130742,4.04323305683089,18.193175970091623,82.64291505407597,4934960272.347967,37.054542819087544
TRY,12,10.0,130742,0.5528980358473805,14.357648729106042,78.33137017943737,4539790992.479439,34.08738276235429
TRY,12,20.0,130742,-6.42777200611962,6.708232158394472,57.26698383075064,3749452432.7423844,28.15306264888779
TRY,12,40.0,130742,-20.389112090053636,-8.638232337021288,43.655443545302965,2168775313.268274,16.284422421954773
TRY,12,80.0,130742,-48.31179225792169,-38.61980480311627,28.056783589053254,-992578925.6799488,-7.45285803191127
TRY,12,120.0,130742,-76.23447242578975,-68.7345832894686,0.0,-4153933164.6281714,-31.19013848577731
TRY,24,5.0,130742,31.547803933899132,51.78530857114229,92.94411895182878,7387192679.343902,55.46732543793371
TRY,24,10.0,130742,27.069098927061525,47.24393607225865,92.56398097015496,6815884712.566238,51.177614001659734
TRY,24,20.0,130742,17.486753331036905,37.47748112901038,90.68011809517982,5593551388.29775,41.99962674265498
TRY,24,40.0,130742,-4.177680190410078,15.632462088825802,81.23250370959599,2830015176.908129,21.249394678818156
TRY,24,80.0,130742,-57.505516550895,-38.29825834501842,0.0,-3972535497.2817173,-29.828099632164868
TRY,24,120.0,130742,-124.16531200150114,-106.02824414381084,0.0,-12475723840.019024,-93.67496752089363
