currency,horizon_months,eligible_events,total_borrowed_dai,mean_gross_benefit_pct,median_gross_benefit_pct,std_gross_benefit_pct,iqr_gross_benefit_pct,positive_positions_pct,total_gross_benefit_usd,value_weighted_gross_benefit_pct
ARS,3,130742,13318097854.94336,7.523278083192511,7.906890953367229,2.8459054680828197,3.25111269845606,100.0,833169697.7087444,6.255921129153528
ARS,6,130742,13318097854.94336,13.905749886395341,15.282864526841156,5.5878050358508125,6.061025810437625,100.0,1690409881.0337806,12.69257741942736
ARS,12,130742,13318097854.94336,26.025196950749766,24.608084931547058,9.23310965058076,11.260720610428976,100.0,3744363513.0556374,28.114852089525826
ARS,24,130742,13318097854.94336,52.720894721651405,50.72058814010013,11.70547159325828,14.49812759930483,100.0,8479400696.899605,63.6682564526454
TRY,3,130742,13318097854.94336,7.712616543638472,9.060779871903646,8.807908072467518,10.233392141082277,86.42211378134034,1651761830.2568526,12.402385447586708
TRY,6,130742,13318097854.94336,14.422543915625234,13.682443237341479,9.70972390071857,6.349998009848456,94.63064661700142,2863723347.2032104,21.502495164054263
TRY,12,130742,13318097854.94336,30.40209330042861,25.296684861802266,14.628504161390353,28.299164619968366,100.0,5438351496.647691,40.8342959774027
TRY,24,130742,13318097854.94336,58.462241120011136,57.78477479288091,3.99197306797461,4.390197861235308,100.0,8019500931.502865,60.215062382397335
