currency,eligible_clean_lifecycles,median_duration_days,mean_gross_benefit_pct,median_gross_benefit_pct,mean_net_benefit_pct_at_20pct_rate,median_net_benefit_pct_at_20pct_rate,positive_net_positions_pct
ARS,7105,6.946782407407407,3.7578367803880317,0.0,-31.61730410164521,-2.985750759352709,13.18789584799437
TRY,7105,6.946782407407407,3.7539025391114182,0.0,-31.570215814396256,-4.1333439252234925,14.58128078817734
