currency,horizon_months,annual_borrow_rate_pct,collateral_type,collateral_shock_pct,initial_collateral_ratio_pct,liquidation_threshold_pct,liquidation_penalty_pct,healthy_positions_pct,near_liquidation_positions_pct,liquidated_positions_pct,mean_risk_adjusted_benefit_pct,positive_risk_adjusted_positions_pct,value_weighted_risk_adjusted_benefit_pct
ARS,12,20.0,BTC,25.0,200.0,150.0,5.0,54.95020727845681,39.80893668446253,5.240856037080663,-11.979807592356972,62.05350996619296,12.435211629143252
ARS,12,20.0,BTC,25.0,200.0,150.0,10.0,54.95020727845681,39.80893668446253,5.240856037080663,-12.241926250372469,62.05350996619296,12.090080492286704
ARS,12,20.0,BTC,25.0,200.0,150.0,13.0,54.95020727845681,39.80893668446253,5.240856037080663,-12.399197445181768,62.05350996619296,11.883001810172775
ARS,12,20.0,BTC,40.0,150.0,150.0,5.0,1.795903382233712,0.907894938122409,97.29620167964387,-16.096330698672386,41.94749965581068,8.580589325338845
ARS,12,20.0,BTC,40.0,150.0,150.0,10.0,1.795903382233712,0.907894938122409,97.29620167964387,-20.4749724630033,27.395175230606846,4.38083588467789
ARS,12,20.0,BTC,40.0,150.0,150.0,13.0,1.795903382233712,0.907894938122409,97.29620167964387,-23.102157521601853,22.04800293708219,1.8609838202813158
ARS,12,20.0,BTC,40.0,175.0,150.0,5.0,3.4594850927781433,2.063606186229368,94.4769087209925,-16.004447415703886,41.948264520964955,8.855474470019233
ARS,12,20.0,BTC,40.0,175.0,150.0,10.0,3.4594850927781433,2.063606186229368,94.4769087209925,-20.2912058970663,27.39670496091539,4.930606174038662
ARS,12,20.0,BTC,40.0,175.0,150.0,13.0,3.4594850927781433,2.063606186229368,94.4769087209925,-22.86326098588375,22.04953266739074,2.575685196450321
ARS,12,20.0,BTC,40.0,200.0,150.0,5.0,6.398861880650442,3.0556362913218402,90.54550182802772,-15.85646450796283,41.948264520964955,9.45383944145158
ARS,12,20.0,BTC,40.0,200.0,150.0,10.0,6.398861880650442,3.0556362913218402,90.54550182802772,-19.995240081584193,27.398234691223937,6.127336116903356
ARS,12,20.0,BTC,40.0,200.0,150.0,13.0,6.398861880650442,3.0556362913218402,90.54550182802772,-22.47850542575701,22.05182726285356,4.131434122174421
ARS,12,20.0,BTC,60.0,150.0,150.0,5.0,1.1258815070903,0.0,98.8741184929097,-16.139425995227256,41.94673479065641,8.489745762966587
ARS,12,20.0,BTC,60.0,150.0,150.0,10.0,1.1258815070903,0.0,98.8741184929097,-20.561163056113042,27.392880635144024,4.19914875993337
ARS,12,20.0,BTC,60.0,150.0,150.0,13.0,1.1258815070903,0.0,98.8741184929097,-23.21420529264451,22.044178611310823,1.6247905581134408
ARS,12,20.0,BTC,60.0,175.0,150.0,5.0,1.1258815070903,0.0,98.8741184929097,-16.139425995227256,41.94673479065641,8.489745762966587
ARS,12,20.0,BTC,60.0,175.0,150.0,10.0,1.1258815070903,0.0,98.8741184929097,-20.561163056113042,27.392880635144024,4.19914875993337
ARS,12,20.0,BTC,60.0,175.0,150.0,13.0,1.1258815070903,0.0,98.8741184929097,-23.21420529264451,22.044178611310823,1.6247905581134408
ARS,12,20.0,BTC,60.0,200.0,150.0,5.0,1.1258815070903,0.6700218751434123,98.2040966177663,-16.122570845627564,41.94673479065641,8.507704638577806
ARS,12,20.0,BTC,60.0,200.0,150.0,10.0,1.1258815070903,0.6700218751434123,98.2040966177663,-20.527452756913654,27.392880635144024,4.235066511155809
ARS,12,20.0,BTC,60.0,200.0,150.0,13.0,1.1258815070903,0.6700218751434123,98.2040966177663,-23.170381903685318,22.044178611310823,1.6714836347026105
TRY,12,20.0,USD_stablecoin,0.0,150.0,150.0,5.0,51.499135702375675,23.830138746538985,24.670725551085344,-7.696802988998871,57.26698383075064,27.813265716367084
TRY,12,20.0,USD_stablecoin,0.0,150.0,150.0,10.0,51.499135702375675,23.830138746538985,24.670725551085344,-8.965833971878123,57.26698383075064,27.47346878384638
TRY,12,20.0,USD_stablecoin,0.0,150.0,150.0,13.0,51.499135702375675,23.830138746538985,24.670725551085344,-9.727252561605678,57.26698383075064,27.269590624333958
TRY,12,20.0,USD_stablecoin,0.0,175.0,150.0,5.0,100.0,0.0,0.0,-6.4277720061196195,57.26698383075064,28.15306264888779
TRY,12,20.0,USD_stablecoin,0.0,175.0,150.0,10.0,100.0,0.0,0.0,-6.4277720061196195,57.26698383075064,28.15306264888779
TRY,12,20.0,USD_stablecoin,0.0,175.0,150.0,13.0,100.0,0.0,0.0,-6.4277720061196195,57.26698383075064,28.15306264888779
TRY,12,20.0,USD_stablecoin,0.0,200.0,150.0,5.0,100.0,0.0,0.0,-6.4277720061196195,57.26698383075064,28.15306264888779
TRY,12,20.0,USD_stablecoin,0.0,200.0,150.0,10.0,100.0,0.0,0.0,-6.4277720061196195,57.26698383075064,28.15306264888779
TRY,12,20.0,USD_stablecoin,0.0,200.0,150.0,13.0,100.0,0.0,0.0,-6.4277720061196195,57.26698383075064,28.15306264888779
TRY,12,20.0,ETH,10.0,150.0,150.0,5.0,43.893316608281964,7.605819094093712,48.50086429762433,-8.852596607847763,51.69723577733245,27.36576175357735
TRY,12,20.0,ETH,10.0,150.0,150.0,10.0,43.893316608281964,7.605819094093712,48.50086429762433,-11.277421209575909,50.67537593122332,26.57846085826691
TRY,12,20.0,ETH,10.0,150.0,150.0,13.0,43.893316608281964,7.605819094093712,48.50086429762433,-12.732315970612799,50.67537593122332,26.106080321080647
TRY,12,20.0,ETH,10.0,175.0,150.0,5.0,56.16787260405991,40.075109758149644,3.757017637790457,-6.626505317139684,57.26698383075064,28.011435501406716
TRY,12,20.0,ETH,10.0,175.0,150.0,10.0,56.16787260405991,40.075109758149644,3.757017637790457,-6.825238628159747,57.26698383075064,27.869808353925645
TRY,12,20.0,ETH,10.0,175.0,150.0,13.0,56.16787260405991,40.075109758149644,3.757017637790457,-6.944478614771786,57.26698383075064,27.784832065437
TRY,12,20.0,ETH,10.0,200.0,150.0,5.0,100.0,0.0,0.0,-6.4277720061196195,57.26698383075064,28.15306264888779
TRY,12,20.0,ETH,10.0,200.0,150.0,10.0,100.0,0.0,0.0,-6.4277720061196195,57.26698383075064,28.15306264888779
TRY,12,20.0,ETH,10.0,200.0,150.0,13.0,100.0,0.0,0.0,-6.4277720061196195,57.26698383075064,28.15306264888779
TRY,12,20.0,ETH,25.0,150.0,150.0,5.0,36.26378669440577,6.054672561227456,57.681540744366764,-9.251798508237421,51.21384099983173,26.915283163016866
TRY,12,20.0,ETH,25.0,150.0,150.0,10.0,36.26378669440577,6.054672561227456,57.681540744366764,-12.075825010355212,47.71075859326001,25.67750367714595
TRY,12,20.0,ETH,25.0,150.0,150.0,13.0,36.26378669440577,6.054672561227456,57.681540744366764,-13.770240911625898,46.02423092808738,24.934835985623394
TRY,12,20.0,ETH,25.0,175.0,150.0,5.0,43.223294733138545,3.36387694849398,53.41282831836747,-9.072760605561204,51.22225451652873,27.258365287609195
TRY,12,20.0,ETH,25.0,175.0,150.0,10.0,43.223294733138545,3.36387694849398,53.41282831836747,-11.717749205002782,47.758180232824955,26.3636679263306
TRY,12,20.0,ETH,25.0,175.0,150.0,13.0,43.223294733138545,3.36387694849398,53.41282831836747,-13.304742364667737,46.40283917945266,25.826849509563438
TRY,12,20.0,ETH,25.0,200.0,150.0,5.0,51.499135702375675,23.830138746538985,24.670725551085344,-7.696802988998871,57.26698383075064,27.813265716367084
TRY,12,20.0,ETH,25.0,200.0,150.0,10.0,51.499135702375675,23.830138746538985,24.670725551085344,-8.965833971878123,57.26698383075064,27.47346878384638
TRY,12,20.0,ETH,25.0,200.0,150.0,13.0,51.499135702375675,23.830138746538985,24.670725551085344,-9.727252561605678,57.26698383075064,27.269590624333958
TRY,12,20.0,ETH,40.0,150.0,150.0,5.0,0.0,6.57707546159612,93.42292453840389,-10.413936526105624,51.20542748313473,25.235760288008255
TRY,12,20.0,ETH,40.0,150.0,150.0,10.0,0.0,6.57707546159612,93.42292453840389,-14.400101046091624,47.68704777347754,22.318457927128716
TRY,12,20.0,ETH,40.0,150.0,150.0,13.0,0.0,6.57707546159612,93.42292453840389,-16.79179975808323,45.991341726453626,20.568076510601
TRY,12,20.0,ETH,40.0,175.0,150.0,5.0,17.55136069510945,24.15979562803078,58.28884367685977,-9.273748300710924,51.21384099983173,26.869292491518696
TRY,12,20.0,ETH,40.0,175.0,150.0,10.0,17.55136069510945,24.15979562803078,58.28884367685977,-12.119724595302223,47.70999372810574,25.585522334149616
TRY,12,20.0,ETH,40.0,175.0,150.0,13.0,17.55136069510945,24.15979562803078,58.28884367685977,-13.827310372057008,46.0234660629331,24.81526023972816
TRY,12,20.0,ETH,40.0,200.0,150.0,5.0,42.083645653271326,1.1396490798672194,56.77670526686145,-9.216707207943834,51.214605864986005,26.94347816457341
TRY,12,20.0,ETH,40.0,200.0,150.0,10.0,42.083645653271326,1.1396490798672194,56.77670526686145,-12.005642409768042,47.7138180538771,25.733893680259026
TRY,12,20.0,ETH,40.0,200.0,150.0,13.0,42.083645653271326,1.1396490798672194,56.77670526686145,-13.679003530862577,46.02729038870447,25.008142989670397
TRY,12,20.0,ETH,60.0,150.0,150.0,5.0,0.0,0.0,100.0,-10.603646408093901,51.20542748313473,24.60312040753195
TRY,12,20.0,ETH,60.0,150.0,150.0,10.0,0.0,0.0,100.0,-14.779520810068187,47.68704777347754,21.05317816617611
TRY,12,20.0,ETH,60.0,150.0,150.0,13.0,0.0,0.0,100.0,-17.285045451252756,45.991341726453626,18.92321282136261
TRY,12,20.0,ETH,60.0,175.0,150.0,5.0,0.0,0.0,100.0,-10.603646408093901,51.20542748313473,24.60312040753195
TRY,12,20.0,ETH,60.0,175.0,150.0,10.0,0.0,0.0,100.0,-14.779520810068187,47.68704777347754,21.05317816617611
TRY,12,20.0,ETH,60.0,175.0,150.0,13.0,0.0,0.0,100.0,-17.285045451252756,45.991341726453626,18.92321282136261
TRY,12,20.0,ETH,60.0,200.0,150.0,5.0,0.0,0.0,100.0,-10.603646408093901,51.20542748313473,24.60312040753195
TRY,12,20.0,ETH,60.0,200.0,150.0,10.0,0.0,0.0,100.0,-14.779520810068187,47.68704777347754,21.05317816617611
TRY,12,20.0,ETH,60.0,200.0,150.0,13.0,0.0,0.0,100.0,-17.285045451252756,45.991341726453626,18.92321282136261
TRY,12,20.0,BTC,10.0,150.0,150.0,5.0,43.893316608281964,7.605819094093712,48.50086429762433,-8.852596607847763,51.69723577733245,27.36576175357735
TRY,12,20.0,BTC,10.0,150.0,150.0,10.0,43.893316608281964,7.605819094093712,48.50086429762433,-11.277421209575909,50.67537593122332,26.57846085826691
TRY,12,20.0,BTC,10.0,150.0,150.0,13.0,43.893316608281964,7.605819094093712,48.50086429762433,-12.732315970612799,50.67537593122332,26.106080321080647
TRY,12,20.0,BTC,10.0,175.0,150.0,5.0,56.16787260405991,40.075109758149644,3.757017637790457,-6.626505317139684,57.26698383075064,28.011435501406716
TRY,12,20.0,BTC,10.0,175.0,150.0,10.0,56.16787260405991,40.075109758149644,3.757017637790457,-6.825238628159747,57.26698383075064,27.869808353925645
TRY,12,20.0,BTC,10.0,175.0,150.0,13.0,56.16787260405991,40.075109758149644,3.757017637790457,-6.944478614771786,57.26698383075064,27.784832065437
TRY,12,20.0,BTC,10.0,200.0,150.0,5.0,100.0,0.0,0.0,-6.4277720061196195,57.26698383075064,28.15306264888779
TRY,12,20.0,BTC,10.0,200.0,150.0,10.0,100.0,0.0,0.0,-6.4277720061196195,57.26698383075064,28.15306264888779
TRY,12,20.0,BTC,10.0,200.0,150.0,13.0,100.0,0.0,0.0,-6.4277720061196195,57.26698383075064,28.15306264888779
TRY,12,20.0,BTC,25.0,150.0,150.0,5.0,36.26378669440577,6.054672561227456,57.681540744366764,-9.251798508237421,51.21384099983173,26.915283163016866
TRY,12,20.0,BTC,25.0,150.0,150.0,10.0,36.26378669440577,6.054672561227456,57.681540744366764,-12.075825010355212,47.71075859326001,25.67750367714595
TRY,12,20.0,BTC,25.0,150.0,150.0,13.0,36.26378669440577,6.054672561227456,57.681540744366764,-13.770240911625898,46.02423092808738,24.934835985623394
TRY,12,20.0,BTC,25.0,175.0,150.0,5.0,43.223294733138545,3.36387694849398,53.41282831836747,-9.072760605561204,51.22225451652873,27.258365287609195
TRY,12,20.0,BTC,25.0,175.0,150.0,10.0,43.223294733138545,3.36387694849398,53.41282831836747,-11.717749205002782,47.758180232824955,26.3636679263306
TRY,12,20.0,BTC,25.0,175.0,150.0,13.0,43.223294733138545,3.36387694849398,53.41282831836747,-13.304742364667737,46.40283917945266,25.826849509563438
TRY,12,20.0,BTC,25.0,200.0,150.0,5.0,51.499135702375675,23.830138746538985,24.670725551085344,-7.696802988998871,57.26698383075064,27.813265716367084
TRY,12,20.0,BTC,25.0,200.0,150.0,10.0,51.499135702375675,23.830138746538985,24.670725551085344,-8.965833971878123,57.26698383075064,27.47346878384638
TRY,12,20.0,BTC,25.0,200.0,150.0,13.0,51.499135702375675,23.830138746538985,24.670725551085344,-9.727252561605678,57.26698383075064,27.269590624333958
TRY,12,20.0,BTC,40.0,150.0,150.0,5.0,0.0,6.57707546159612,93.42292453840389,-10.413936526105624,51.20542748313473,25.235760288008255
TRY,12,20.0,BTC,40.0,150.0,150.0,10.0,0.0,6.57707546159612,93.42292453840389,-14.400101046091624,47.68704777347754,22.318457927128716
TRY,12,20.0,BTC,40.0,150.0,150.0,13.0,0.0,6.57707546159612,93.42292453840389,-16.79179975808323,45.991341726453626,20.568076510601
TRY,12,20.0,BTC,40.0,175.0,150.0,5.0,17.55136069510945,24.15979562803078,58.28884367685977,-9.273748300710924,51.21384099983173,26.869292491518696
